ye1_38b,ye1_38c,total_expend,status,hhtype,y_nfm,total_food,percentile,price_per_liter,total_expend_per_person,total_food_per_person,ye1_38c_per_person
2.0,1242.86,41527.8984375,4.0,глава Мужчина трудоспос возраста,2.0,19945.7265625,65,621.43,20763.94921875,9972.86328125,621.43
1.6330000000000007,588.7259999999995,79401.3515625,4.0,глава Мужчина трудоспос возраста,3.0,15974.330078125,90,360.51806491120595,26467.1171875,5324.776692708333,196.24199999999985
1.5,771.4300000000001,21030.8203125,4.0,глава Женщина трудоспос возраста,1.0,12934.2998046875,32,514.2866666666667,21030.8203125,12934.2998046875,771.4300000000001
1.5926,559.6341000000001,32817.5,4.0,глава Мужчина пенс возраста,2.0,17241.4296875,53,351.3965214115284,16408.75,8620.71484375,279.81705000000005
1.2160000000000002,417.5984000000002,28254.23828125,4.0,глава Женщина пенс возраста,1.0,12244.2998046875,46,343.41973684210535,28254.23828125,12244.2998046875,417.5984000000002
1.294,507.9415999999998,51453.7109375,4.0,глава Женщина трудоспос возраста,4.0,22375.728515625,75,392.53601236476027,12863.427734375,5593.93212890625,126.98539999999996
1.719000000000001,609.821,16412.05859375,4.0,глава Женщина трудоспос возраста,2.0,7281.849609375,21,354.75334496800446,8206.029296875,3640.9248046875,304.9105
1.574,543.2176999999997,44285.01953125,4.0,глава Мужчина трудоспос возраста,5.0,12403.2900390625,68,345.1192503176618,8857.00390625,2480.6580078125,108.64353999999994
1.0,377.14,18700.109375,4.0,глава Женщина пенс возраста,1.0,8434.1103515625,26,377.14,18700.109375,8434.1103515625,377.14
1.0,368.57,31056.9921875,4.0,глава Женщина пенс возраста,1.0,15264.9912109375,51,368.57,31056.9921875,15264.9912109375,368.57
1.138,528.8579000000002,60466.23046875,4.0,глава Мужчина трудоспос возраста,3.0,4438.40966796875,82,464.725746924429,20155.41015625,1479.4698893229167,176.28596666666672
1.9410000000000005,612.3441999999998,19230.4296875,4.0,глава Мужчина пенс возраста,2.0,7664.4296875,27,315.47872230808844,9615.21484375,3832.21484375,306.1720999999999
2.5780000000000007,974.2511999999999,64603.37890625,4.0,глава Мужчина трудоспос возраста,2.0,30280.41015625,84,377.90969743987574,32301.689453125,15140.205078125,487.12559999999996
1.0,321.43,26244.349609375,4.0,глава Женщина пенс возраста,1.0,16868.349609375,42,321.43,26244.349609375,16868.349609375,321.43
1.0930000000000002,435.29789999999974,19812.8984375,4.0,глава Женщина пенс возраста,1.0,8196.8994140625,29,398.2597438243364,19812.8984375,8196.8994140625,435.29789999999974
1.0,364.29,56465.3984375,4.0,глава Мужчина трудоспос возраста,5.0,34150.140625,79,364.29,11293.0796875,6830.028125,72.858
1.347,469.9279999999999,35194.7109375,4.0,глава Женщина трудоспос возраста,3.0,14242.5390625,57,348.87008166295465,11731.5703125,4747.513020833333,156.64266666666663
1.585,655.2866000000001,25615.30859375,4.0,глава Женщина трудоспос возраста,1.0,10785.08984375,41,413.43003154574143,25615.30859375,10785.08984375,655.2866000000001
1.6770000000000003,512.1687999999999,30923.16796875,4.0,глава Мужчина пенс возраста,2.0,11923.7900390625,51,305.4077519379844,15461.583984375,5961.89501953125,256.08439999999996
2.1959999999999997,697.3099999999998,32332.48046875,4.0,глава Мужчина пенс возраста,2.0,10331.66015625,53,317.53642987249543,16166.240234375,5165.830078125,348.6549999999999
1.074,428.01329999999984,17805.80078125,4.0,глава Женщина пенс возраста,1.0,7489.22021484375,24,398.52262569832385,17805.80078125,7489.22021484375,428.01329999999984
1.6500000000000004,569.4442000000003,23326.08984375,4.0,глава Женщина пенс возраста,1.0,12793.0693359375,36,345.117696969697,23326.08984375,12793.0693359375,569.4442000000003
1.4800000000000002,570.6856,24415.58984375,4.0,глава Женщина пенс возраста,1.0,9850.51953125,39,385.59837837837836,24415.58984375,9850.51953125,570.6856
2.383,916.8447000000001,26129.740234375,4.0,глава Мужчина трудоспос возраста,2.0,13108.1298828125,42,384.7438942509442,13064.8701171875,6554.06494140625,458.42235000000005
1.3160000000000005,474.12819999999994,22049.12109375,4.0,глава Женщина пенс возраста,1.0,10083.080078125,34,360.2797872340424,22049.12109375,10083.080078125,474.12819999999994
3.198,1437.4720000000002,105817.328125,4.0,глава Женщина трудоспос возраста,4.0,47327.640625,95,449.4909318323953,26454.33203125,11831.91015625,359.36800000000005
2.4440000000000004,996.8982999999994,20833.740234375,4.0,глава Женщина пенс возраста,1.0,13284.4501953125,31,407.8961947626838,20833.740234375,13284.4501953125,996.8982999999994
1.0,291.43,20028.578125,3.0,глава Мужчина трудоспос возраста,2.0,10328.5791015625,29,291.43,10014.2890625,5164.28955078125,145.715
1.0,287.14,37962.75390625,3.0,глава Мужчина пенс возраста,2.0,11055.26953125,61,287.14,18981.376953125,5527.634765625,143.57
1.027,357.51369999999986,41423.0703125,3.0,глава Мужчина пенс возраста,3.0,11759.2998046875,65,348.11460564751695,13807.690104166666,3919.7666015625,119.17123333333329
1.2560000000000002,489.9929999999998,89568.3125,3.0,глава Мужчина пенс возраста,2.0,13154.7685546875,92,390.121815286624,44784.15625,6577.38427734375,244.9964999999999
1.0159999999999998,351.34390000000013,53486.203125,3.0,глава Мужчина трудоспос возраста,2.0,11569.650390625,77,345.8109251968506,26743.1015625,5784.8251953125,175.67195000000007
1.0,308.57,165286.5,3.0,глава Женщина трудоспос возраста,4.0,14278.4501953125,98,308.57,41321.625,3569.612548828125,77.1425
1.0,334.29,134696.859375,3.0,глава Мужчина трудоспос возраста,7.0,24867.55859375,97,334.29,19242.40848214286,3552.508370535714,47.75571428571429
1.0,381.43,39503.390625,3.0,глава Женщина трудоспос возраста,2.0,6270.59033203125,63,381.43,19751.6953125,3135.295166015625,190.715
1.0,300.0,24941.1484375,3.0,глава Женщина трудоспос возраста,5.0,15013.779296875,39,300.0,4988.2296875,3002.755859375,60.0
1.0,308.57,74144.6484375,3.0,глава Мужчина трудоспос возраста,5.0,13356.9990234375,88,308.57,14828.9296875,2671.3998046875,61.714
